,name,close,close_ratio,close_state,close_min,close_max,close_median,close_mean,close_drop,close_q10,close_q20,close_q40,close_q50,close_q60,close_q80,close_q90,vlt,roi,sample,start,update,aid
XAU,伦敦金,1566.69,82.82,较高,1051.56,1899.9,1296.14,1352.06,-32.88,1173.87,1212.25,1273.1,1296.14,1327.63,1523.85,1653.27,11.26,4.8,2590,2010-02-09,2020-02-07,10
XAG,伦敦银,17.82,49.04,合理,13.66,48.43,17.9,21.15,-23.34,15.06,15.95,17.12,17.9,19.43,28.59,32.69,23.48,0.95,2594,2010-02-09,2020-02-07,10
OIL,布伦特原油,55.14,20.72,偏低,27.73,126.65,75.25,79.89,-49.71,48.48,54.53,66.18,75.25,85.86,109.13,112.49,37.72,-0.95,2587,2010-02-09,2020-02-07,10
