27,175428,100,-0.01%,1.4478,159938,159938,1.4482,广发医药,广发医药,-2.03%,000991,0.00%,全指医药,23:50:04,15:00:03,2020-01-23,0,4.059,40.502,1.448,0.49,25.40,7173.65
28,140683,200,0.28%,1.2710,159939,159939,1.2725,信息技术,信息技术,-3.63%,000993,0.00%,全指信息,23:50:04,15:00:03,2020-01-23,0,4.493,79.610,1.276,0.66,17.95,13913.68
29,64906,100,-0.09%,1.0305,159940,159940,1.0309,全指金融,全指金融,-3.38%,000992,0.00%,全指金融,23:50:04,15:00:03,2020-01-23,0,1.085,8.438,1.030,0.02,6.69,216.16
30,2184,30,-0.65%,11.6316,159943,159943,11.6360,深证ETF,深证ETF,-3.51%,399001,0.00%,深证成指,23:50:04,15:00:03,2020-01-23,0,2.759,24.923,11.560,0.00,2.52,74.67
31,2961,200,2.66%,0.7467,159944,159944,0.7471,全指材料,全指材料,-1.41%,000987,0.00%,全指材料,23:50:04,15:00:03,2020-01-23,0,1.792,19.738,0.767,0.00,0.23,12.72
32,4607,50,0.11%,0.6109,159945,159945,0.6113,全指能源,全指能源,-3.32%,000986,0.00%,全指能源,23:50:04,15:00:03,2020-01-23,0,0.935,14.069,0.612,0.00,0.28,11.99
33,61320,50,0.15%,2.0147,159948,159948,2.0149,创业板EF,创业板EF,-3.35%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,2.018,0.04,12.37,1263.20
34,858179,100,0.15%,0.7096,159949,159949,0.7099,创业板50,创业板50,-3.00%,399673,0.00%,创业板50,23:50:04,15:00:03,2020-01-23,0,6.524,62.192,0.711,-0.04,61.02,59181.24
35,1832,300,2.22%,0.8821,159951,159951,0.8824,中关村A,中关村A,-1.42%,399422,0.00%,中关村A,23:50:04,15:00:03,2020-01-23,0,2.167,32.071,0.902,0.00,0.17,1.62
36,127598,100,0.16%,1.1113,159952,159952,1.1112,创业ETF,创业ETF,-3.72%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,1.113,0.00,14.20,5997.43
37,2717,200,0.81%,0.7556,159953,159953,0.7559,工业ETF,工业ETF,-2.93%,000988,0.00%,全指工业,23:50:04,15:00:03,2020-01-23,0,1.686,20.970,0.762,0.00,0.21,4.23
38,2283,200,-0.12%,1.0342,159955,159955,1.0362,创业板E,创业板E,-3.09%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,1.035,-0.01,0.24,193.28
39,5398,100,2.07%,1.0979,159956,159956,1.0983,创业板F,创业板F,-1.41%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,1.121,-0.01,0.61,316.42
40,15978,300,1.65%,1.1411,159957,159957,1.1421,创业板HX,创业板HX,-2.44%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,1.161,0.01,1.86,223.05
41,17761,70,3.29%,1.1227,159958,159958,1.1231,创业板ET,创业板ET,-0.34%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,1.160,0.00,2.06,470.52
42,333489,100,0.09%,1.0141,159959,159959,1.0141,央企ETF,央企ETF,-2.78%,000860,0.00%,结构调整,23:50:04,15:00:03,2020-01-23,0,1.248,15.503,1.015,0.00,33.85,154.18
43,3948,200,-1.17%,1.1461,159964,159964,1.1474,创业板PA,创业板PA,-3.24%,399006,0.00%,创业板指,23:50:04,15:00:03,2020-01-23,0,5.818,54.313,1.134,0.00,0.45,52.25
