,open,high,low,close,volume
2000-01-31,284.25,284.65,281.85,283.5,0.0
2000-02-01,283.27,284.25,282.35,282.63,0.0
2000-02-02,282.75,286.55,281.75,284.75,0.0
2000-02-03,285.05,288.05,284.35,287.45,0.0
2000-02-04,287.5,315.3,287.25,310.3,0.0
2000-02-07,316.5,322.0,302.25,302.75,0.0
2000-02-08,301.5,305.75,295.95,301.75,0.0
2000-02-09,301.75,311.75,299.75,306.75,0.0
2000-02-10,308.0,317.2,306.75,315.0,0.0
2000-02-11,314.95,317.5,308.45,310.95,0.0
2000-02-14,310.05,311.2,305.75,308.15,0.0
2000-02-15,308.0,308.5,300.75,301.75,0.0
2000-02-16,301.0,303.2,296.75,302.5,0.0
2000-02-17,302.25,309.75,298.05,300.5,0.0
2000-02-18,300.85,305.3,299.25,305.0,0.0
2000-02-21,304.75,306.7,303.25,305.5,0.0
2000-02-22,305.25,307.2,301.5,304.4,0.0
2000-02-23,305.1,305.87,299.25,300.0,0.0
2000-02-24,300.4,301.25,297.92,298.5,0.0
2000-02-25,298.35,298.8,291.45,292.6,0.0
2000-02-28,292.75,294.0,290.75,291.75,0.0
2000-02-29,291.75,294.6,291.75,292.2,0.0
2000-03-01,292.2,294.2,289.5,289.75,0.0
2000-03-02,288.75,292.25,287.6,288.5,0.0
2000-03-03,288.13,294.75,287.57,288.8,0.0
2000-03-06,288.5,290.13,287.63,287.63,0.0
2000-03-07,287.38,293.8,287.0,293.25,0.0
2000-03-08,293.6,294.2,287.88,288.13,0.0
2000-03-09,288.98,291.6,288.23,291.2,0.0
2000-03-10,291.2,293.25,288.3,289.0,0.0
2000-03-13,290.5,292.0,288.4,288.88,0.0
2000-03-14,289.25,290.25,288.2,288.85,0.0
2000-03-15,289.38,289.95,285.4,286.5,0.0
2000-03-16,286.0,286.67,282.9,284.6,0.0
2000-03-20,286.25,291.4,283.98,289.63,0.0
2000-03-21,289.35,290.8,287.6,287.88,0.0
2000-03-22,287.25,288.98,283.1,286.27,0.0
2000-03-23,285.63,286.45,284.37,285.0,0.0
2000-03-27,280.2,281.77,278.38,279.4,0.0
2000-03-28,279.35,280.48,274.88,276.4,0.0
2000-03-29,275.27,278.25,275.2,276.75,0.0
2000-03-30,276.65,280.3,275.1,279.08,0.0
2000-04-03,278.75,279.85,277.17,278.2,0.0
2000-04-04,278.38,288.15,275.95,284.45,0.0
2000-04-05,284.75,285.2,280.9,281.5,0.0
2000-04-06,281.48,282.65,279.02,280.5,0.0
2000-04-07,280.13,281.27,279.48,280.0,0.0
2000-04-10,280.6,282.7,279.8,282.0,0.0
2000-04-11,281.9,284.2,280.95,281.8,0.0
2000-04-12,281.5,283.6,279.3,282.05,0.0
2000-04-13,282.2,282.75,279.9,281.6,0.0
2000-04-14,281.55,286.5,280.35,282.6,0.0
2000-04-17,284.75,285.05,280.75,281.38,0.0
2000-04-18,281.5,282.65,280.05,281.3,0.0
2000-04-19,281.15,282.0,280.1,280.7,0.0
2000-04-20,280.7,281.3,279.15,280.0,0.0
2000-04-21,279.8,280.0,279.42,280.0,0.0
2000-04-24,280.0,281.2,279.3,279.8,0.0
2000-04-25,279.8,280.65,277.8,278.4,0.0
2000-04-26,278.2,278.55,274.95,275.88,0.0
2000-04-27,275.9,277.6,275.3,277.05,0.0
2000-04-28,277.1,277.25,272.75,273.55,0.0
2000-05-01,275.25,275.25,272.2,273.35,0.0
2000-05-02,273.8,276.4,273.25,274.95,0.0
2000-05-03,275.75,278.38,275.4,278.25,0.0
2000-05-04,278.25,282.6,276.5,279.95,0.0
2000-05-05,280.45,282.6,277.4,278.95,0.0
2000-05-08,278.95,278.95,276.2,276.73,0.0
2000-05-09,276.55,277.75,275.5,277.25,0.0
2000-05-10,277.25,279.05,276.4,277.75,0.0
2000-05-11,277.65,278.25,275.45,275.95,0.0
2000-05-12,276.0,277.3,275.7,276.15,0.0
2000-05-15,276.5,277.0,273.9,275.45,0.0
2000-05-16,275.5,277.4,274.98,275.65,0.0
2000-05-17,275.5,275.6,272.0,273.35,0.0
2000-05-18,273.63,274.25,272.25,273.35,0.0
2000-05-19,273.4,274.7,272.45,274.25,0.0
2000-05-22,274.1,276.9,273.6,275.65,0.0
2000-05-23,275.8,277.0,273.65,274.25,0.0
2000-05-24,273.9,274.45,272.65,273.55,0.0
2000-05-25,273.5,274.7,269.45,270.3,0.0
2000-05-26,270.3,273.2,270.05,272.25,0.0
2000-05-29,272.7,273.8,272.15,272.15,0.0
2000-05-30,272.1,274.8,272.1,273.2,0.0
2000-05-31,273.1,273.3,271.8,272.1,0.0
2000-06-01,272.2,273.95,271.9,272.8,0.0
2000-06-02,272.9,282.95,272.55,281.15,0.0
2000-06-05,281.05,286.25,279.05,285.45,0.0
2000-06-06,285.45,291.15,283.8,289.0,0.0
2000-06-07,289.5,289.5,284.3,286.7,0.0
2000-06-08,287.4,288.2,283.75,284.45,0.0
2000-06-09,284.45,286.8,283.5,283.85,0.0
2000-06-12,283.9,286.9,283.25,286.8,0.0
2000-06-13,286.5,294.05,284.65,285.75,0.0
2000-06-14,285.8,292.0,285.35,291.75,0.0
2000-06-15,291.75,293.25,286.55,289.85,0.0
2000-06-16,289.55,292.0,288.45,289.25,0.0
2000-06-19,289.15,289.15,285.45,286.25,0.0
2000-06-20,286.15,287.6,285.4,286.15,0.0
2000-06-21,286.25,287.58,285.85,286.15,0.0
2000-06-22,286.15,289.45,284.98,285.65,0.0
2000-06-23,285.6,286.7,282.5,283.15,0.0
2000-06-26,283.15,284.7,282.05,284.0,0.0
2000-06-27,283.95,286.15,283.1,286.05,0.0
2000-06-28,286.15,293.1,285.45,292.65,0.0
2000-06-29,292.75,292.75,288.2,289.25,0.0
2000-06-30,289.4,290.3,287.8,289.52,0.0
2000-07-03,288.95,289.83,287.85,288.35,0.0
2000-07-04,287.85,288.3,286.3,288.05,0.0
2000-07-05,286.75,287.95,284.0,284.25,0.0
2000-07-06,284.15,285.85,282.35,283.65,0.0
2000-07-07,283.2,284.75,281.95,283.65,0.0
2000-07-10,283.75,285.4,283.5,283.95,0.0
2000-07-11,284.05,284.3,282.0,282.55,0.0
2000-07-12,282.6,283.5,279.5,280.6,0.0
2000-07-13,280.65,281.85,279.9,280.25,0.0
2000-07-14,280.5,281.45,279.9,281.3,0.0
2000-07-17,280.45,284.15,280.45,283.6,0.0
2000-07-18,283.55,284.1,282.1,282.65,0.0
