,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
XAU,伦敦金,0.67,-0.46,0.25,0.92,4.49,7.59,5.93,-0.46,-0.46,3.42,3.42,-10.98,8.94,12.57,-1.71,18.32,11.26,2020-02-07,close
XAG,伦敦银,1.09,-0.16,0.06,-0.48,0.34,6.26,3.38,-0.16,-0.16,-0.6,-0.6,-10.9,15.77,5.41,-9.13,16.46,23.48,2020-02-07,close
OIL,布伦特原油,-0.76,-5.26,-11.08,-15.55,-16.82,-10.85,-6.94,-5.26,-5.26,-17.27,-17.27,-33.43,50.93,17.39,-20.35,25.61,37.72,2020-02-07,close
