,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300302.XSHE,同有科技,-0.1906,11.6404,4.6071,39.5783,计算机I,2012-03-21
300387.XSHE,富邦股份,1.7956,11.8612,4.6654,39.3331,化工I,2014-07-02
300044.XSHE,赛为智能,1.5243,25.1751,9.879,39.2413,计算机I,2010-01-20
300089.XSHE,文化长城,1.8533,22.5814,8.6742,38.4128,传媒I,2010-06-25
300222.XSHE,科大智能,-4.0066,46.3504,17.7986,38.4001,机械设备I,2011-05-25
300108.XSHE,吉药控股,-1.0551,22.6004,8.5405,37.7894,医药生物I,2010-08-25
300368.XSHE,汇金股份,1.4452,9.3722,3.5226,37.5858,计算机I,2014-01-23
300244.XSHE,迪安诊断,15.8452,51.1168,18.7033,36.5893,医药生物I,2011-07-19
300292.XSHE,吴通控股,-0.0247,16.1626,5.8321,36.0839,传媒I,2012-02-29
300015.XSHE,爱尔眼科,57.4033,68.0615,24.4218,35.882,医药生物I,2009-10-30
300315.XSHE,掌趣科技,13.281,56.3456,20.1144,35.6983,传媒I,2012-05-11
300439.XSHE,美康生物,7.8706,21.5362,7.636,35.4566,医药生物I,2015-04-22
300036.XSHE,超图软件,8.6341,20.316,7.0727,34.8134,计算机I,2009-12-25
300418.XSHE,昆仑万维,35.6478,44.2878,15.3488,34.6569,传媒I,2015-01-21
300035.XSHE,中科电气,3.9035,13.6877,4.7288,34.548,化工I,2009-12-25
300043.XSHE,星辉娱乐,21.4728,30.8053,10.6358,34.526,传媒I,2010-01-20
300350.XSHE,华鹏飞,0.1508,11.7291,4.0453,34.4893,交通运输I,2012-08-21
300424.XSHE,航新科技,1.9885,10.1074,3.4732,34.3628,国防军工I,2015-04-22
300113.XSHE,顺网科技,14.1707,28.5792,9.7905,34.2574,传媒I,2010-08-27
300349.XSHE,金卡智能,11.4193,36.1262,12.312,34.0806,机械设备I,2012-08-17
300230.XSHE,永利股份,9.2361,32.5327,10.9283,33.5917,化工I,2011-06-15
300366.XSHE,创意信息,3.657,24.11,7.9584,33.0086,计算机I,2014-01-27
300003.XSHE,乐普医疗,45.7259,78.8815,25.8329,32.749,医药生物I,2009-10-30
300150.XSHE,世纪瑞尔,1.2292,19.9047,6.4939,32.6247,计算机I,2010-12-22
300441.XSHE,鲍斯股份,5.1533,18.6894,6.0543,32.3943,机械设备I,2015-04-23
300296.XSHE,利亚德,25.4956,83.4894,26.8939,32.2123,电子I,2012-03-15
