,name,close,close_ratio,close_state,close_min,close_max,close_median,close_mean,close_drop,close_q10,close_q20,close_q40,close_q50,close_q60,close_q80,close_q90,vlt,roi,sample,start,update,aid
XAU,伦敦金,1612.2,86.83,较高,1051.56,1899.9,1297.35,1353.74,-34.77,1176.33,1213.18,1273.81,1297.34,1328.35,1529.28,1653.27,10.31,6.07,2590,2010-02-22,2020-02-20,10
XAG,伦敦银,18.43,54.93,合理,13.66,48.43,17.91,21.16,-25.88,15.06,15.97,17.14,17.91,19.43,28.59,32.69,23.53,2.48,2594,2010-02-22,2020-02-20,10
OIL,布伦特原油,59.31,27.79,偏低,27.73,126.65,75.06,79.83,-53.25,48.48,54.47,65.91,75.06,85.86,109.13,112.49,31.39,0.1,2587,2010-02-22,2020-02-20,10
