,name,1d,5d,10d,20d,30d,60d,90d,tw,tm,tq,ty,2015y,2016y,2017y,2018y,2019y,vlt,update,aid
601229.XSHG,上海银行,-1.04,2.52,0.89,4.79,4.5,5.77,11.25,0.0,0.0,0.0,0.0,,,-19.36,16.14,0.0,24.86,2018-08-10,close
002807.XSHE,江阴银行,-0.18,2.9,-0.87,2.71,1.07,-14.07,-19.77,0.0,0.0,0.0,0.0,,,-22.8,-30.39,0.0,41.2,2018-08-10,close
600919.XSHG,江苏银行,-0.32,2.28,-0.95,1.13,0.64,-11.69,-11.94,0.0,0.0,0.0,0.0,,,-22.2,-12.31,0.0,20.68,2018-08-10,close
600908.XSHG,无锡银行,-0.17,1.94,-1.87,1.23,-2.04,-13.75,-17.81,0.0,0.0,0.0,0.0,,,-27.08,-25.06,0.0,36.46,2018-08-10,close
601169.XSHG,北京银行,-0.34,1.22,-2.02,0.87,1.04,-10.6,-11.42,0.0,0.0,0.0,0.0,17.94,13.86,-9.66,-14.79,0.0,15.92,2018-08-10,close
601988.XSHG,中国银行,-0.56,1.43,-0.56,-0.56,2.91,-3.54,-5.35,0.0,0.0,0.0,0.0,0.87,-9.54,20.77,-6.35,0.0,19.02,2018-08-10,close
601398.XSHG,工商银行,-1.26,0.36,-0.72,2.61,8.06,-3.85,-5.66,0.0,0.0,0.0,0.0,-1.73,1.51,47.03,-7.41,0.0,29.32,2018-08-10,close
601998.XSHG,中信银行,-0.34,1.71,-2.94,0.34,0.0,-5.71,-3.72,0.0,0.0,0.0,0.0,-11.25,-8.04,-0.17,0.17,0.0,27.77,2018-08-10,close
601009.XSHG,南京银行,0.14,2.37,-4.05,0.14,-0.41,-10.58,-5.77,0.0,0.0,0.0,0.0,25.2,12.79,2.21,-0.54,0.0,26.53,2018-08-10,close
600036.XSHG,招商银行,-1.15,4.41,1.28,4.41,3.61,-8.14,-9.37,0.0,0.0,0.0,0.0,7.35,-7.11,48.12,-10.99,0.0,33.48,2018-08-10,pe
600000.XSHG,浦发银行,-0.73,2.44,0.74,6.02,5.2,-7.14,-13.33,0.0,0.0,0.0,0.0,8.15,-6.23,5.1,-19.71,0.0,20.66,2018-08-10,pe
600926.XSHG,杭州银行,0.24,3.14,-0.36,5.13,-3.87,-9.09,-9.69,0.0,0.0,0.0,0.0,,,-30.29,-15.98,0.0,21.97,2018-08-10,pe
002142.XSHE,宁波银行,-1.74,2.79,1.93,0.71,0.47,-7.83,-18.09,0.0,0.0,0.0,0.0,2.04,-9.78,19.11,-17.12,0.0,31.01,2018-08-10,pe
601939.XSHG,建设银行,-1.14,0.29,0.0,-1.83,4.5,-9.73,-13.0,0.0,0.0,0.0,0.0,-14.27,-6.66,36.5,-13.43,0.0,38.76,2018-08-10,pe
601128.XSHG,常熟银行,0.21,2.74,-1.12,1.25,0.93,-16.61,-21.2,0.0,0.0,0.0,0.0,,,-40.12,-28.75,0.0,31.93,2018-08-10,pe
600016.XSHG,民生银行,-0.19,2.38,-0.19,2.58,2.18,-8.67,-11.79,0.0,0.0,0.0,0.0,-6.16,-7.48,-11.21,-17.57,0.0,20.02,2018-08-10,pe
601288.XSHG,农业银行,-0.46,2.38,0.62,3.2,13.16,1.1,-1.98,0.0,0.0,0.0,0.0,-12.74,-4.98,18.44,-1.53,0.0,26.17,2018-08-10,pe
601818.XSHG,光大银行,-0.51,0.86,-1.01,-2.16,-1.83,-11.03,-13.25,0.0,0.0,0.0,0.0,-16.31,-10.27,12.6,-13.25,0.0,25.77,2018-08-10,pe
601997.XSHG,贵阳银行,-0.68,1.74,-2.83,0.69,-2.83,-12.71,-19.89,0.0,0.0,0.0,0.0,,,-28.89,-21.19,0.0,26.34,2018-08-10,pe
601166.XSHG,兴业银行,-0.18,2.99,1.47,7.2,6.78,-4.84,-8.77,0.0,0.0,0.0,0.0,-3.99,-11.54,7.65,-10.99,0.0,23.75,2018-08-10,pe
