,name,net_profit,net_assets,good_will,good_will_ratio,industry,ipo_date
300188.XSHE,美亚柏科,-3.7118,25.5164,5.422,21.2492,计算机I,2011-03-16
300307.XSHE,慈星股份,-2.0774,41.1293,8.4711,20.5962,机械设备I,2012-03-29
300477.XSHE,合纵科技,1.2733,19.7837,4.0539,20.4912,电气设备I,2015-06-10
300047.XSHE,天源迪科,5.2726,32.1497,6.54,20.3423,计算机I,2010-01-20
300178.XSHE,腾邦国际,-13.8578,30.4345,6.0002,19.715,休闲服务I,2011-02-15
300409.XSHE,道氏技术,5.0813,24.0406,4.631,19.2633,化工I,2014-12-03
300456.XSHE,耐威科技,1.9493,32.6062,6.2722,19.2363,国防军工I,2015-05-14
300075.XSHE,数字政通,0.063,23.3171,4.4109,18.9169,计算机I,2010-04-27
300596.XSHE,利安隆,9.3639,18.9636,3.5345,18.6382,化工I,2017-01-19
300081.XSHE,恒信东方,5.4322,26.7504,4.8608,18.1711,通信I,2010-05-20
300194.XSHE,福安药业,7.2784,39.2275,7.0972,18.0925,医药生物I,2011-03-22
300045.XSHE,华力创通,2.1117,19.0376,3.369,17.6964,计算机I,2010-01-20
300298.XSHE,三诺生物,8.3642,26.6302,4.6643,17.515,医药生物I,2012-03-19
300558.XSHE,贝达药业,10.9913,23.8077,4.1358,17.3718,医药生物I,2016-11-07
300294.XSHE,博雅生物,11.0081,38.7754,6.6384,17.1202,医药生物I,2012-03-08
300065.XSHE,海兰信,2.7656,17.806,3.0223,16.9737,国防军工I,2010-03-26
300495.XSHE,美尚生态,5.7775,43.2455,7.3247,16.9375,建筑装饰I,2015-12-22
300266.XSHE,兴源环境,3.6221,28.3053,4.6357,16.3775,公用事业I,2011-09-27
300624.XSHE,万兴科技,3.3989,6.9049,1.1162,16.1653,计算机I,2018-01-18
300007.XSHE,汉威科技,4.5323,21.7558,3.4725,15.9613,机械设备I,2009-10-30
300741.XSHE,华宝股份,27.0238,74.8954,11.9455,15.9496,食品饮料I,2018-03-01
300177.XSHE,中海达,1.1137,22.927,3.5798,15.6138,计算机I,2011-02-15
300203.XSHE,聚光科技,16.2957,47.705,7.4424,15.6008,公用事业I,2011-04-15
300137.XSHE,先河环保,7.8184,20.2161,3.1065,15.3665,公用事业I,2010-11-05
300406.XSHE,九强生物,8.5914,18.5214,2.818,15.2149,医药生物I,2014-10-30
300662.XSHE,科锐国际,6.0288,9.459,1.4387,15.2095,休闲服务I,2017-06-08
300034.XSHE,钢研高纳,4.9745,22.1973,3.2009,14.4202,国防军工I,2009-12-25
300237.XSHE,美晨生态,-0.958,37.5904,5.3871,14.331,建筑装饰I,2011-06-29
300232.XSHE,洲明科技,15.2083,30.6003,4.3646,14.2632,电子I,2011-06-22
300369.XSHE,绿盟科技,3.2274,31.1302,4.2195,13.5544,计算机I,2014-01-29
300037.XSHE,新宙邦,10.5912,31.3532,4.1076,13.1011,化工I,2010-01-08
300252.XSHE,金信诺,1.1522,25.5518,3.2327,12.6516,通信I,2011-08-18
300571.XSHE,平治信息,10.7173,7.3081,0.8867,12.1328,通信I,2016-12-13
300328.XSHE,宜安科技,1.7354,14.1961,1.7002,11.9768,有色金属I,2012-06-19
300284.XSHE,苏交科,20.1971,48.3796,5.7784,11.9438,建筑装饰I,2012-01-10
300429.XSHE,强力新材,4.2061,17.1404,2.026,11.82,化工I,2015-03-24
300140.XSHE,中环装备,1.5218,25.1836,2.9216,11.6012,公用事业I,2010-11-12
300085.XSHE,银之杰,2.6478,13.6787,1.5562,11.3767,计算机I,2010-05-26
300607.XSHE,拓斯达,5.7396,10.1985,1.142,11.1982,机械设备I,2017-02-09
300348.XSHE,长亮科技,1.5051,13.6111,1.4041,10.3157,计算机I,2012-08-17
300176.XSHE,派生科技,-1.1895,10.9468,1.0854,9.9154,非银金融I,2011-02-15
300673.XSHE,佩蒂股份,0.9381,9.9592,0.9593,9.6324,农林牧渔I,2017-07-11
300212.XSHE,易华录,2.3358,37.3961,3.5944,9.6118,计算机I,2011-05-05
300457.XSHE,赢合科技,5.2152,32.2777,2.9848,9.2473,机械设备I,2015-05-14
300602.XSHE,飞荣达,10.7826,16.837,1.5542,9.2308,电子I,2017-01-26
300073.XSHE,当升科技,6.8574,34.6001,3.1303,9.047,化工I,2010-04-27
300006.XSHE,莱美药业,1.5389,18.1427,1.6289,8.9783,医药生物I,2009-10-30
300183.XSHE,东软载波,3.5389,28.3795,2.4015,8.4621,通信I,2011-02-22
300363.XSHE,博腾股份,7.0405,30.0166,2.5009,8.3316,医药生物I,2014-01-29
300506.XSHE,名家汇,6.972,22.3871,1.8234,8.1449,建筑装饰I,2016-03-24
300262.XSHE,巴安水务,2.0225,24.1148,1.924,7.9784,公用事业I,2011-09-16
300367.XSHE,东方网力,-29.926,37.3198,2.8158,7.5451,计算机I,2014-01-29
300317.XSHE,珈伟新能,-3.6339,29.3746,2.0423,6.9527,电气设备I,2012-05-11
300482.XSHE,万孚生物,9.2489,23.4302,1.576,6.7265,医药生物I,2015-06-30
300759.XSHE,康龙化成,16.0778,30.7088,2.0516,6.681,医药生物I,2019-01-28
300388.XSHE,国祯环保,10.584,37.76,2.4601,6.5151,公用事业I,2014-08-01
300068.XSHE,南都电源,4.2928,63.4031,3.6935,5.8253,电气设备I,2010-04-21
300523.XSHE,辰安科技,10.4494,15.5709,0.8967,5.7587,计算机I,2016-07-26
300386.XSHE,飞天诚信,1.8452,17.7489,1.0044,5.659,计算机I,2014-06-26
300373.XSHE,扬杰科技,6.2804,25.4676,1.3801,5.4192,电子I,2014-01-23
300310.XSHE,宜通世纪,0.1899,15.7378,0.8513,5.4094,通信I,2012-04-25
300595.XSHE,欧普康视,11.4108,13.326,0.6772,5.0821,医药生物I,2017-01-17
300236.XSHE,上海新阳,1.3165,15.874,0.7428,4.6793,化工I,2011-06-29
300559.XSHE,佳发教育,5.9539,9.5218,0.445,4.6736,计算机I,2016-11-01
300725.XSHE,药石科技,4.8164,6.9436,0.312,4.4938,医药生物I,2017-11-10
300322.XSHE,硕贝德,1.2437,7.0861,0.3022,4.2652,电子I,2012-06-08
300634.XSHE,彩讯股份,3.4001,13.3666,0.492,3.6808,计算机I,2018-03-23
300355.XSHE,蒙草生态,2.6806,47.4704,1.7364,3.6579,建筑装饰I,2012-09-27
300352.XSHE,北信源,3.3867,23.3893,0.8275,3.5381,计算机I,2012-09-12
300118.XSHE,东方日升,29.363,90.8676,3.0863,3.3965,电气设备I,2010-09-02
300170.XSHE,汉得信息,-8.2461,31.139,0.9396,3.0174,计算机I,2011-02-01
300055.XSHE,万邦达,5.1496,58.7368,1.5811,2.6919,公用事业I,2010-02-26
300300.XSHE,汉鼎宇佑,-1.0682,24.662,0.6635,2.6902,计算机I,2012-03-19
300171.XSHE,东富龙,2.2939,31.432,0.8404,2.6737,机械设备I,2011-02-01
300638.XSHE,广和通,3.9939,5.5286,0.1473,2.6634,通信I,2017-04-13
300198.XSHE,纳川股份,-1.757,15.6083,0.4087,2.6187,建筑材料I,2011-04-07
300747.XSHE,锐科激光,6.5839,23.3532,0.6022,2.5787,电子I,2018-06-25
300531.XSHE,优博讯,0.1196,8.0885,0.1978,2.4448,通信I,2016-08-09
300487.XSHE,蓝晓科技,8.8697,12.4756,0.3034,2.432,化工I,2015-07-02
300438.XSHE,鹏辉能源,14.395,26.0623,0.5737,2.2014,电子I,2015-04-24
300770.XSHE,新媒股份,10.6128,20.6513,0.3929,1.9023,传媒I,2019-04-19
300114.XSHE,中航电测,6.4293,16.4292,0.3024,1.8406,机械设备I,2010-08-27
300226.XSHE,上海钢联,8.8507,27.4845,0.4893,1.7804,传媒I,2011-06-08
300364.XSHE,中文在线,-3.8861,20.0972,0.3454,1.7186,传媒I,2015-01-21
300661.XSHE,圣邦股份,5.9328,10.0924,0.1447,1.4337,电子I,2017-06-06
300021.XSHE,大禹节水,2.2022,15.9566,0.2217,1.3891,农林牧渔I,2009-10-30
300185.XSHE,通裕重工,5.8994,54.3749,0.6944,1.2771,电气设备I,2011-03-08
300110.XSHE,华仁药业,1.3796,22.4569,0.2815,1.2536,医药生物I,2010-08-25
300096.XSHE,易联众,2.8312,8.5208,0.1028,1.206,计算机I,2010-07-28
300428.XSHE,四通新材,11.5704,37.4178,0.4486,1.1988,汽车I,2015-03-19
300208.XSHE,青岛中程,-4.2079,20.8795,0.2458,1.1773,电气设备I,2011-04-26
300215.XSHE,电科院,4.9403,20.6875,0.2251,1.0879,电气设备I,2011-05-11
300205.XSHE,天喻信息,7.8963,14.1761,0.1489,1.0504,通信I,2011-04-21
300676.XSHE,华大基因,7.1462,45.5387,0.4711,1.0345,医药生物I,2017-07-14
300365.XSHE,恒华科技,3.8785,19.4291,0.1776,0.9139,计算机I,2014-01-23
300735.XSHE,光弘科技,11.0398,20.524,0.1772,0.8634,电子I,2017-12-29
300303.XSHE,聚飞光电,10.8035,21.4618,0.1833,0.8543,电子I,2012-03-19
300684.XSHE,中石科技,4.8722,7.4323,0.063,0.8483,化工I,2017-12-27
300219.XSHE,鸿利智汇,3.4313,19.5479,0.1596,0.8165,电子I,2011-05-18
300504.XSHE,天邑股份,3.2763,18.2164,0.134,0.7357,通信I,2018-03-30
300224.XSHE,正海磁材,3.6815,27.0103,0.1823,0.6749,有色金属I,2011-05-31
300463.XSHE,迈克生物,15.3139,31.9786,0.2132,0.6666,医药生物I,2015-05-28
